experiment_id,dataset,modalities,baseline,representation,embedding_dim,clustering,cluster_count,cluster_count_source,seed,ARI,NMI,silhouette,runtime_seconds,runtime_scope,status,metric_output_location,provenance_location
EXP-LN-A1-PCA-KMEANS-S1729,LN_A1,RNA,PCA,PCA,30,KMeans,10,reference_annotation_count,1729,0.2304425723063286,0.3386412118097548,0.1504506640302149,0.27363112500461284,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/metrics.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/provenance.json
EXP-LN-A1-RNA-KMEANS-S1729,LN_A1,RNA,RNA,RNA,2000,KMeans,10,reference_annotation_count,1729,0.2137084293980493,0.32033410076659935,-0.03381922425788723,7.85067554199486,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/metrics.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/provenance.json
EXP-LN-A1-RNA-KMEANS-S2718,LN_A1,RNA,RNA,RNA,2000,KMeans,10,reference_annotation_count,2718,0.21116435527579158,0.31206509685973155,-0.033711721589700046,8.420204708003439,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/metrics.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/provenance.json
EXP-LN-A1-RNA-KMEANS-S31415,LN_A1,RNA,RNA,RNA,2000,KMeans,10,reference_annotation_count,31415,0.2162178904308263,0.30574884496993077,-0.03264622706281012,7.9687617080053315,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/metrics.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/provenance.json
EXP-LN-A1-PCA-KMEANS-S2718,LN_A1,RNA,PCA,PCA,30,KMeans,10,reference_annotation_count,2718,0.23061239088969035,0.33909499859834596,0.15112446775808727,0.16991370799951255,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/metrics.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/provenance.json
EXP-LN-A1-PCA-KMEANS-S31415,LN_A1,RNA,PCA,PCA,30,KMeans,10,reference_annotation_count,31415,0.2347511026841955,0.3429123244836748,0.1514742547467336,0.17587033299787436,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/metrics.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/provenance.json
EXP-LN-A1-SPACE-KMEANS-S1729,LN_A1,spatial_coordinates,SPACE,SPACE,2,KMeans,10,reference_annotation_count,1729,0.06705234452479386,0.15128035139816198,0.3525528359609896,0.08172366699727718,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/metrics.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/provenance.json
EXP-LN-A1-SPACE-KMEANS-S2718,LN_A1,spatial_coordinates,SPACE,SPACE,2,KMeans,10,reference_annotation_count,2718,0.06794946138480393,0.15374529030771994,0.35437635474308443,0.09421012501115911,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/metrics.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/provenance.json
EXP-LN-A1-SPACE-KMEANS-S31415,LN_A1,spatial_coordinates,SPACE,SPACE,2,KMeans,10,reference_annotation_count,31415,0.06702248397421309,0.15025246342673101,0.3535148615560435,0.08207279199268669,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/metrics.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/provenance.json
EXP-LN-A1-ADT-KMEANS-S1729,LN_A1,ADT,ADT,ADT,31,KMeans,10,reference_annotation_count,1729,0.24457231226316262,0.31203324941066707,0.11453142894320754,0.14818387500417884,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/metrics.json,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/provenance.json
EXP-LN-A1-ADT-KMEANS-S2718,LN_A1,ADT,ADT,ADT,31,KMeans,10,reference_annotation_count,2718,0.21343577024983373,0.30113746235526617,0.09931847470450919,0.14921741600846872,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-ADT-KMEANS-S2718/metrics.json,08_experiments/EXP-LN-A1-ADT-KMEANS-S2718/provenance.json
EXP-LN-A1-ADT-KMEANS-S31415,LN_A1,ADT,ADT,ADT,31,KMeans,10,reference_annotation_count,31415,0.2444234317265172,0.3113823289453173,0.11323041954748723,0.17890037500183098,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-ADT-KMEANS-S31415/metrics.json,08_experiments/EXP-LN-A1-ADT-KMEANS-S31415/provenance.json
EXP-LN-A1-CONCAT-KMEANS-S1729,LN_A1,RNA+ADT,CONCAT,CONCAT,2031,KMeans,10,reference_annotation_count,1729,0.2145333122707893,0.31579731087692847,0.02877107616231484,6.306405084003927,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-CONCAT-KMEANS-S1729/metrics.json,08_experiments/EXP-LN-A1-CONCAT-KMEANS-S1729/provenance.json
EXP-LN-A1-CONCAT-KMEANS-S2718,LN_A1,RNA+ADT,CONCAT,CONCAT,2031,KMeans,10,reference_annotation_count,2718,0.19741076725361614,0.31469089684897045,0.022666227824403088,6.536829083997873,post_representation_clustering_metrics_and_artifact_serialization,SUCCEEDED,08_experiments/EXP-LN-A1-CONCAT-KMEANS-S2718/metrics.json,08_experiments/EXP-LN-A1-CONCAT-KMEANS-S2718/provenance.json
