experiment_id,dataset,baseline,cluster_count,minimum_cluster_size,maximum_cluster_size,dominant_cluster_fraction,singleton_clusters,flags,disposition
EXP-LN-A1-ADT-KMEANS-S1729,LN_A1,ADT,10,1,1345,0.3860505166475316,1,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-A1-ADT-KMEANS-S2718,LN_A1,ADT,10,1,1073,0.30797933409873707,1,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-A1-ADT-KMEANS-S31415,LN_A1,ADT,10,1,1340,0.38461538461538464,2,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-A1-CONCAT-KMEANS-S1729,LN_A1,CONCAT,10,1,918,0.2634902411021814,1,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-D1-RNA-KMEANS-S2718,LN_D1,RNA,11,1,1150,0.34236379874962786,1,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-D1-ADT-KMEANS-S1729,LN_D1,ADT,11,1,1116,0.33224173861268236,1,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-D1-ADT-KMEANS-S2718,LN_D1,ADT,11,1,1109,0.3301577850550759,2,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-D1-ADT-KMEANS-S31415,LN_D1,ADT,11,1,1107,0.32956236975290265,2,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-LN-D1-CONCAT-KMEANS-S2718,LN_D1,CONCAT,11,1,1188,0.3536766894909199,1,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E11-ATAC-KMEANS-S1729,MB_E11,ATAC,8,1,1256,0.9944576405384006,7,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E11-ATAC-KMEANS-S2718,MB_E11,ATAC,8,1,1256,0.9944576405384006,7,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E11-ATAC-KMEANS-S31415,MB_E11,ATAC,8,1,1256,0.9944576405384006,7,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E11-CONCAT-KMEANS-S1729,MB_E11,CONCAT,8,1,470,0.3721298495645289,5,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E11-CONCAT-KMEANS-S2718,MB_E11,CONCAT,8,1,439,0.3475851148060174,5,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E11-CONCAT-KMEANS-S31415,MB_E11,CONCAT,8,1,364,0.28820269200316706,4,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E13-ATAC-KMEANS-S1729,MB_E13,ATAC,12,1,1766,0.9938097917839055,11,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E13-ATAC-KMEANS-S2718,MB_E13,ATAC,12,1,1766,0.9938097917839055,11,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E13-ATAC-KMEANS-S31415,MB_E13,ATAC,12,1,1766,0.9938097917839055,11,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E13-CONCAT-KMEANS-S1729,MB_E13,CONCAT,12,1,914,0.5143500281373101,9,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E13-CONCAT-KMEANS-S2718,MB_E13,CONCAT,12,1,700,0.3939223410241981,8,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E13-CONCAT-KMEANS-S31415,MB_E13,CONCAT,12,1,680,0.3826674169949353,8,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E15-ATAC-KMEANS-S1729,MB_E15,ATAC,12,1,1938,0.9943560800410467,11,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E15-ATAC-KMEANS-S2718,MB_E15,ATAC,12,1,1938,0.9943560800410467,11,SINGLETON_CLUSTER_PRESENT;DOMINANT_CLUSTER_GE_90_PERCENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E15-ATAC-KMEANS-S31415,MB_E15,ATAC,12,1,1194,0.6126218573627501,10,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E15-CONCAT-KMEANS-S1729,MB_E15,CONCAT,12,1,671,0.34427911749615187,8,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E15-CONCAT-KMEANS-S2718,MB_E15,CONCAT,12,1,699,0.3586454592098512,8,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
EXP-MB-E15-CONCAT-KMEANS-S31415,MB_E15,CONCAT,12,1,673,0.3453052847614161,8,SINGLETON_CLUSTER_PRESENT,RETAIN_WITH_CAUTION_NO_TUNING
