dataset,metric,Delta_graph_mean,Delta_graph_sd,Delta_dualRNA_mean,Delta_dualRNA_sd,Delta_hierarchical_mean,Delta_hierarchical_sd,Delta_full_mean,Delta_full_sd
LN_A1,ARI,0.005539563151336284,0.0014821605609875639,-0.007848170825701226,0.017586792867406335,0.0010657136884841916,0.01176620338689279,-0.0012428939858807515,0.015402223620967768
LN_A1,NMI,0.00014888265822604607,0.006460693047426864,-0.007533565587293882,0.00881146262844662,0.0002519281868629449,0.004271485168760774,-0.00713275474220489,0.004596156502538864
LN_A1,AMI,0.00013013876567804136,0.006502184857566077,-0.007619535319338529,0.008821284268505902,0.0002988676274514786,0.004208065762326613,-0.0071905289262090095,0.004630078280945951
LN_A1,Homogeneity,-0.0022480639325969665,0.008528538839449555,-0.012690552769134814,0.011589899217119611,0.00508179611151971,0.0052680871882789535,-0.00985682059021207,0.006089610749474531
LN_A1,V_measure,0.00014888265822597205,0.00646069304742689,-0.007533565587293863,0.008811462628446606,0.0002519281868629634,0.004271485168760754,-0.0071327547422049276,0.004596156502538908
LN_A1,Silhouette,0.008296974003314972,0.011652671916997407,-0.006179879109064738,0.025903221147370824,0.003335567812124888,0.019449713652750087,0.005452662706375122,0.007050844512692922
LN_D1,ARI,0.010323385307665087,0.003269284672481014,0.013599955301299982,0.005448417385044269,-0.024310862415053026,0.008978472913704351,-0.00038752180608795744,0.014761627391240303
LN_D1,NMI,0.003781749244765024,0.009726018439789916,0.009099565100565477,0.003778386259144053,-0.012214018774598304,0.00381956858863658,0.0006672955707321959,0.006467814107440792
LN_D1,AMI,0.0037929033996561743,0.00978464767739732,0.009173091649491464,0.0037783276174835115,-0.012282073432623497,0.003851336326004166,0.0006839216165241413,0.006525192495411261
LN_D1,Homogeneity,0.0030306073199134844,0.010114462282187318,0.01091495437138292,0.004060571599835837,-0.011762553289021834,0.005135181487447478,0.00218300840227457,0.008952252409272455
LN_D1,V_measure,0.003781749244764987,0.009726018439789947,0.009099565100565477,0.0037783862591439996,-0.012214018774598268,0.0038195685886365616,0.0006672955707321959,0.00646781410744084
LN_D1,Silhouette,-0.003956831991672516,0.006674399275041655,0.0032289549708366394,0.008192606961027648,0.003305308520793915,0.004366510487999105,0.0025774314999580383,0.0035161100088194294
